transaction_id,customer_id,date,service_name,amount,estimated_margin_pct,quantity
TXN-00064,CUST-0051,2024-11-07,Implementation Fee,12975.29,20.0,1
TXN-00065,CUST-0107,2024-05-16,Bulk Order,21541.05,12.0,2
TXN-00066,CUST-0186,2025-12-12,SEO Package,3621.15,20.0,2
TXN-00067,CUST-0038,2025-04-29,Annual Subscription,3175.12,45.0,1
TXN-00068,CUST-0198,2025-09-28,Strategy Session,10638.34,30.0,1
TXN-00069,CUST-0055,2024-11-10,Website Development,37442.87,25.0,1
TXN-00070,CUST-0163,2024-07-30,Executive Coaching,13466.45,35.0,2
TXN-00071,CUST-0187,2024-02-08,Workshop Ticket,143.53,25.0,1
TXN-00072,CUST-0043,2025-10-16,Subscription Box,228.34,20.0,1
TXN-00073,CUST-0081,2025-05-26,Implementation Fee,16147.82,20.0,1
TXN-00074,CUST-0013,2024-06-13,Website Development,37073.99,25.0,1
TXN-00075,CUST-0013,2024-05-04,SEO Package,4681.81,20.0,1
TXN-00076,CUST-0158,2024-12-25,Product Sale,133.73,15.0,1
TXN-00077,CUST-0165,2025-12-26,PPC Campaign,6871.57,18.0,1
TXN-00078,CUST-0159,2025-05-26,Market Analysis,8994.5,28.0,1
TXN-00079,CUST-0013,2024-10-02,PPC Campaign,8850.84,18.0,1
TXN-00080,CUST-0184,2024-02-21,Enterprise License,33227.76,35.0,1
TXN-00081,CUST-0118,2024-07-17,Bulk Order,12651.51,12.0,1
TXN-00082,CUST-0033,2025-10-15,Bulk Order,40423.86,12.0,1
TXN-00083,CUST-0154,2025-12-24,PPC Campaign,10700.83,18.0,1
TXN-00084,CUST-0047,2025-05-16,Subscription Box,125.75,20.0,1
TXN-00085,CUST-0123,2025-12-19,PPC Campaign,16124.16,18.0,1
TXN-00086,CUST-0190,2025-12-29,Consultation Fee,1477.51,32.0,1
TXN-00087,CUST-0013,2024-06-07,Social Media Mgmt,3242.62,22.0,1
TXN-00088,CUST-0088,2025-08-07,SEO Package,2963.87,20.0,1
TXN-00089,CUST-0075,2025-03-22,Litigation Support,75606.73,25.0,1
TXN-00090,CUST-0059,2024-05-29,Corporate Health,35449.46,22.0,2
TXN-00091,CUST-0164,2024-04-13,Workshop Ticket,1052.77,25.0,1
TXN-00092,CUST-0015,2025-02-01,Enterprise License,41351.08,35.0,1
TXN-00093,CUST-0184,2024-04-05,Implementation Fee,18261.0,20.0,1
TXN-00094,CUST-0101,2025-12-08,Property Listing,2258.8,30.0,1
TXN-00095,CUST-0046,2025-09-19,Social Media Mgmt,10975.09,22.0,1
TXN-00096,CUST-0090,2024-01-31,Market Analysis,25532.99,28.0,1
TXN-00097,CUST-0026,2024-12-14,Process Optimization,47317.48,22.0,1
TXN-00098,CUST-0029,2025-06-01,Telemedicine Plan,2670.39,28.0,2
TXN-00099,CUST-0088,2025-07-23,Social Media Mgmt,4112.09,22.0,1
TXN-00100,CUST-0036,2025-02-20,Monthly Subscription,210.64,40.0,1
TXN-00101,CUST-0095,2025-03-06,Subscription Box,96.45,20.0,1
TXN-00102,CUST-0150,2025-04-14,Wellness Program,9737.33,25.0,1
TXN-00103,CUST-0158,2025-05-09,Subscription Box,166.2,20.0,1
TXN-00104,CUST-0087,2025-02-18,Bulk Order,35836.54,12.0,1
TXN-00105,CUST-0053,2025-05-21,Annual Subscription,4301.79,45.0,1
TXN-00106,CUST-0184,2024-04-26,Annual Subscription,5297.88,45.0,1
TXN-00107,CUST-0176,2024-10-06,Patient Consultation,385.31,30.0,1
TXN-00108,CUST-0091,2024-10-29,PPC Campaign,14854.42,18.0,1
TXN-00109,CUST-0090,2024-04-27,Executive Coaching,15321.84,35.0,1
TXN-00110,CUST-0171,2025-12-28,Valuation Report,2118.52,35.0,1
TXN-00111,CUST-0137,2024-07-27,Consultation Fee,2274.83,32.0,1
TXN-00112,CUST-0107,2025-06-12,Bulk Order,8589.53,12.0,2
TXN-00113,CUST-0031,2024-11-15,Property Listing,4263.98,30.0,1
TXN-00114,CUST-0018,2025-04-28,Property Management,10664.23,25.0,2
TXN-00115,CUST-0184,2024-03-19,Implementation Fee,12818.58,20.0,1
TXN-00116,CUST-0171,2025-12-18,Consultation Fee,1825.25,32.0,1
TXN-00117,CUST-0200,2025-09-17,Property Listing,2575.57,30.0,1
TXN-00118,CUST-0148,2025-04-22,Bulk Order,52487.37,12.0,1
TXN-00119,CUST-0060,2025-09-14,Consultation Fee,2213.17,32.0,1
TXN-00120,CUST-0070,2025-04-15,Monthly Subscription,414.99,40.0,3
TXN-00121,CUST-0123,2025-08-21,Social Media Mgmt,5172.92,22.0,1
TXN-00122,CUST-0175,2025-08-25,Telemedicine Plan,648.61,28.0,1
TXN-00123,CUST-0012,2025-03-14,Bulk Order,28910.43,12.0,1
TXN-00124,CUST-0193,2025-12-17,Executive Coaching,15601.52,35.0,1
TXN-00125,CUST-0173,2025-02-01,SEO Package,4292.6,20.0,1
TXN-00126,CUST-0044,2024-06-10,Retainer,15856.83,28.0,1
TXN-00127,CUST-0178,2025-11-09,SEO Package,4282.68,20.0,1
TXN-00128,CUST-0129,2025-12-03,Litigation Support,35630.69,25.0,1
TXN-00129,CUST-0096,2025-01-20,Executive Coaching,11153.66,35.0,1
TXN-00130,CUST-0161,2025-09-26,Annual Subscription,2980.05,28.0,1
TXN-00131,CUST-0169,2024-07-29,Strategy Session,4598.42,30.0,3
TXN-00132,CUST-0068,2025-07-07,Bulk Order,42614.57,12.0,1
TXN-00133,CUST-0192,2024-10-17,Enterprise License,20760.5,35.0,1
TXN-00134,CUST-0039,2024-04-13,Retainer,26129.78,28.0,1
TXN-00135,CUST-0001,2024-07-05,Subscription Box,144.06,20.0,1
TXN-00136,CUST-0200,2025-04-28,Consultation Fee,1658.61,32.0,1
TXN-00137,CUST-0098,2024-06-03,Contract Review,9567.12,30.0,1
TXN-00138,CUST-0138,2024-08-24,Hourly Consultation,1358.21,35.0,1
TXN-00139,CUST-0113,2024-09-13,Implementation Fee,20614.59,20.0,1
TXN-00140,CUST-0032,2024-10-09,Website Development,25584.86,25.0,1
TXN-00141,CUST-0057,2025-12-28,Website Development,44185.8,25.0,1
TXN-00142,CUST-0085,2025-01-04,Consultation Fee,1122.04,32.0,1
TXN-00143,CUST-0081,2025-12-02,Annual Subscription,3934.96,45.0,1
TXN-00144,CUST-0163,2025-04-11,Executive Coaching,8000.46,35.0,1
TXN-00145,CUST-0070,2025-09-11,Annual Subscription,3347.82,45.0,3
TXN-00146,CUST-0073,2025-07-17,Website Development,52710.63,25.0,1
TXN-00147,CUST-0100,2025-05-17,Social Media Mgmt,3234.21,22.0,1
TXN-00148,CUST-0192,2025-02-06,Implementation Fee,15140.6,20.0,3
TXN-00149,CUST-0030,2025-12-27,Social Media Mgmt,6160.65,22.0,1
TXN-00150,CUST-0101,2024-06-18,Property Management,7065.11,25.0,1
TXN-00151,CUST-0180,2025-04-08,Bulk Order,46194.69,12.0,1
TXN-00152,CUST-0070,2025-04-01,Enterprise License,45064.65,35.0,2
TXN-00153,CUST-0191,2024-12-31,Corporate Training,16010.62,22.0,1
TXN-00154,CUST-0105,2025-05-10,Retainer,22304.9,28.0,2
TXN-00155,CUST-0107,2024-05-17,Premium Membership,210.79,18.0,1
TXN-00156,CUST-0119,2024-11-16,Annual Subscription,3841.97,28.0,2
TXN-00157,CUST-0014,2025-08-22,Valuation Report,3074.26,35.0,1
TXN-00158,CUST-0052,2024-03-12,Property Listing,3393.47,30.0,2
TXN-00159,CUST-0105,2025-06-02,Retainer,24869.32,28.0,1
TXN-00160,CUST-0197,2024-09-21,Website Development,19042.79,25.0,1
TXN-00161,CUST-0093,2025-10-13,Property Listing,5099.03,30.0,2
TXN-00162,CUST-0151,2025-05-22,Litigation Support,100478.81,25.0,1
TXN-00163,CUST-0051,2024-10-17,Annual Subscription,1868.65,45.0,1
TXN-00164,CUST-0024,2025-08-29,Website Development,6092.09,25.0,1
TXN-00165,CUST-0186,2024-10-28,Website Development,27173.61,25.0,1
TXN-00166,CUST-0158,2025-04-19,Product Sale,221.92,15.0,1
TXN-00167,CUST-0007,2024-06-19,SEO Package,6590.24,20.0,1
TXN-00168,CUST-0141,2025-08-29,Market Analysis,18615.8,28.0,1
TXN-00169,CUST-0197,2024-09-16,Website Development,37890.07,25.0,1
TXN-00170,CUST-0003,2025-02-26,SEO Package,5900.68,20.0,1
TXN-00171,CUST-0028,2024-11-29,Workshop Ticket,147.43,25.0,2
TXN-00172,CUST-0111,2024-09-25,Annual Subscription,4330.75,45.0,1
TXN-00173,CUST-0126,2025-07-15,Executive Coaching,15796.83,35.0,1
TXN-00174,CUST-0010,2025-10-15,Monthly Subscription,484.12,40.0,1
TXN-00175,CUST-0061,2024-12-29,Market Analysis,15946.51,28.0,1
TXN-00176,CUST-0050,2025-03-01,Executive Coaching,13960.79,35.0,1
TXN-00177,CUST-0186,2025-07-06,Social Media Mgmt,9899.67,22.0,1
TXN-00178,CUST-0030,2025-02-01,Social Media Mgmt,6533.85,22.0,2
TXN-00179,CUST-0095,2024-03-14,Subscription Box,150.31,20.0,1
TXN-00180,CUST-0084,2025-08-04,Product Sale,179.33,15.0,1
TXN-00181,CUST-0050,2025-04-01,Market Analysis,16337.79,28.0,1
TXN-00182,CUST-0128,2025-01-23,Social Media Mgmt,4441.81,22.0,1
TXN-00183,CUST-0038,2025-07-31,Monthly Subscription,187.89,40.0,1
TXN-00184,CUST-0022,2025-04-28,Course Enrollment,2208.84,20.0,1
TXN-00185,CUST-0003,2025-12-24,Social Media Mgmt,9687.58,22.0,1
TXN-00186,CUST-0099,2025-05-28,Retainer,9621.81,28.0,1
TXN-00187,CUST-0156,2025-12-28,Implementation Fee,9775.37,20.0,1
TXN-00188,CUST-0035,2024-05-30,Workshop Ticket,1153.32,25.0,1
TXN-00189,CUST-0190,2025-12-13,Property Listing,5010.24,30.0,1
TXN-00190,CUST-0038,2025-03-10,Annual Subscription,986.37,45.0,1
TXN-00191,CUST-0035,2024-05-12,Course Enrollment,1433.07,20.0,1
TXN-00192,CUST-0155,2025-07-25,Corporate Training,24210.83,22.0,1
TXN-00193,CUST-0023,2024-08-21,Hourly Consultation,1855.77,35.0,1
TXN-00194,CUST-0200,2025-07-21,Property Listing,4095.88,30.0,1
TXN-00195,CUST-0089,2025-12-14,Process Optimization,21271.36,22.0,1
TXN-00196,CUST-0022,2024-05-23,Annual Subscription,3347.65,28.0,1
TXN-00197,CUST-0165,2025-11-14,Social Media Mgmt,8107.97,22.0,1
TXN-00198,CUST-0132,2025-05-12,Website Development,31638.1,25.0,1
TXN-00199,CUST-0063,2024-01-26,Social Media Mgmt,8927.84,22.0,1
TXN-00200,CUST-0198,2025-10-11,Strategy Session,5971.73,30.0,1
TXN-00201,CUST-0167,2025-01-17,PPC Campaign,19121.21,18.0,1
TXN-00202,CUST-0189,2024-03-31,Implementation Fee,11895.84,20.0,1
TXN-00203,CUST-0062,2025-06-05,Hourly Consultation,1282.88,35.0,1
TXN-00204,CUST-0140,2025-05-16,Consultation Fee,521.7,32.0,1
TXN-00205,CUST-0161,2025-10-30,Corporate Training,12064.87,22.0,1
TXN-00206,CUST-0191,2024-09-04,Annual Subscription,4917.18,28.0,1
TXN-00207,CUST-0037,2024-03-30,Workshop Ticket,535.2,25.0,1
TXN-00208,CUST-0021,2024-05-23,Executive Coaching,11661.63,35.0,1
TXN-00209,CUST-0134,2024-08-04,SEO Package,1474.04,20.0,1
TXN-00210,CUST-0085,2024-10-30,Valuation Report,3354.31,35.0,1
TXN-00211,CUST-0026,2025-04-01,Executive Coaching,11071.88,35.0,1
TXN-00212,CUST-0048,2024-12-13,PPC Campaign,14490.08,18.0,1
TXN-00213,CUST-0110,2025-03-06,PPC Campaign,14294.65,18.0,1
TXN-00214,CUST-0058,2024-05-25,Social Media Mgmt,10049.87,22.0,1
TXN-00215,CUST-0143,2025-08-23,Valuation Report,3261.58,35.0,1
TXN-00216,CUST-0106,2024-06-29,Workshop Ticket,877.4,25.0,1
TXN-00217,CUST-0113,2025-03-20,Monthly Subscription,290.03,40.0,3
TXN-00218,CUST-0103,2025-01-02,Litigation Support,86336.23,25.0,1
TXN-00219,CUST-0024,2025-08-29,PPC Campaign,14771.7,18.0,1
TXN-00220,CUST-0167,2024-09-22,SEO Package,1875.3,20.0,1
TXN-00221,CUST-0015,2025-10-12,Implementation Fee,5104.49,20.0,1
TXN-00222,CUST-0112,2025-07-06,Executive Coaching,17813.64,35.0,1
TXN-00223,CUST-0108,2025-08-03,Corporate Training,31464.42,22.0,2
TXN-00224,CUST-0015,2024-08-14,Monthly Subscription,219.4,40.0,1
TXN-00225,CUST-0189,2024-06-12,Implementation Fee,17917.62,20.0,1
TXN-00226,CUST-0137,2024-08-30,Valuation Report,1625.87,35.0,1
TXN-00227,CUST-0106,2024-07-31,Workshop Ticket,632.18,25.0,1
TXN-00228,CUST-0093,2025-07-16,Consultation Fee,802.08,32.0,3
TXN-00229,CUST-0191,2025-01-13,Workshop Ticket,860.99,25.0,1
TXN-00230,CUST-0169,2025-10-26,Process Optimization,50850.42,22.0,1
TXN-00231,CUST-0094,2024-08-11,Enterprise License,39939.8,35.0,2
TXN-00232,CUST-0116,2025-01-15,Premium Membership,335.76,18.0,1
TXN-00233,CUST-0113,2025-11-06,Enterprise License,9779.12,35.0,1
TXN-00234,CUST-0057,2025-12-18,Social Media Mgmt,10617.09,22.0,1
TXN-00235,CUST-0158,2025-06-20,Product Sale,444.48,15.0,1
TXN-00236,CUST-0190,2025-12-22,Property Management,4904.94,25.0,2
TXN-00237,CUST-0011,2024-09-29,Website Development,7220.81,25.0,1
TXN-00238,CUST-0090,2024-02-03,Market Analysis,9085.07,28.0,1
TXN-00239,CUST-0121,2025-04-30,Retainer,15097.34,28.0,1
TXN-00240,CUST-0032,2024-11-13,PPC Campaign,12425.35,18.0,1
TXN-00241,CUST-0021,2024-07-26,Market Analysis,15047.91,28.0,1
TXN-00242,CUST-0142,2025-12-17,PPC Campaign,17422.4,18.0,3
TXN-00243,CUST-0182,2024-11-26,Retainer,24733.47,28.0,1
TXN-00244,CUST-0007,2024-05-11,PPC Campaign,11832.92,18.0,1
TXN-00245,CUST-0170,2025-11-12,Website Development,26076.48,25.0,1
TXN-00246,CUST-0150,2025-01-24,Patient Consultation,428.75,30.0,1
TXN-00247,CUST-0066,2025-07-30,Enterprise License,24207.85,35.0,1
TXN-00248,CUST-0158,2025-03-07,Subscription Box,171.86,20.0,1
TXN-00249,CUST-0145,2025-12-19,Implementation Fee,13791.93,20.0,1
TXN-00250,CUST-0200,2025-09-29,Property Management,4651.91,25.0,1
TXN-00251,CUST-0016,2024-04-27,Litigation Support,36376.52,25.0,2
TXN-00252,CUST-0080,2024-03-19,Enterprise License,49265.15,35.0,1
TXN-00253,CUST-0093,2025-11-19,Consultation Fee,2572.84,32.0,1
TXN-00254,CUST-0078,2025-02-19,Valuation Report,1401.9,35.0,1
TXN-00255,CUST-0070,2025-10-19,Implementation Fee,10507.1,20.0,2
TXN-00256,CUST-0100,2025-11-18,Social Media Mgmt,3563.07,22.0,1
TXN-00257,CUST-0041,2024-12-01,Premium Membership,315.64,18.0,1
TXN-00258,CUST-0182,2024-10-02,Retainer,18488.33,28.0,1
TXN-00259,CUST-0169,2024-07-27,Process Optimization,6668.01,22.0,1
TXN-00260,CUST-0068,2025-01-28,Premium Membership,415.82,18.0,2
TXN-00261,CUST-0166,2025-10-07,Telemedicine Plan,2655.65,28.0,1
TXN-00262,CUST-0135,2024-03-13,Subscription Box,38.8,20.0,1
TXN-00263,CUST-0121,2025-12-01,Hourly Consultation,2355.56,35.0,1
TXN-00264,CUST-0148,2024-10-11,Subscription Box,81.84,20.0,1
TXN-00265,CUST-0031,2025-09-22,Valuation Report,3403.29,35.0,1
TXN-00266,CUST-0177,2025-05-08,Website Development,8420.76,25.0,1
TXN-00267,CUST-0132,2025-04-25,SEO Package,1381.79,20.0,1
TXN-00268,CUST-0131,2024-04-30,Annual Subscription,1368.66,45.0,1
TXN-00269,CUST-0028,2025-03-12,Workshop Ticket,449.51,25.0,1
TXN-00270,CUST-0176,2025-09-13,Corporate Health,14813.32,22.0,1
TXN-00271,CUST-0153,2025-07-31,Telemedicine Plan,1644.47,28.0,1
TXN-00272,CUST-0083,2025-11-18,Process Optimization,50993.89,22.0,1
TXN-00273,CUST-0166,2025-12-12,Patient Consultation,393.63,30.0,1
TXN-00274,CUST-0099,2024-04-15,Contract Review,9858.09,30.0,1
TXN-00275,CUST-0116,2025-01-05,Premium Membership,189.67,18.0,1
TXN-00276,CUST-0054,2025-03-15,Property Management,6629.64,25.0,1
TXN-00277,CUST-0070,2025-04-25,Enterprise License,9744.32,35.0,1
TXN-00278,CUST-0036,2025-08-15,Annual Subscription,2051.42,45.0,1
TXN-00279,CUST-0091,2024-10-29,Social Media Mgmt,8794.56,22.0,1
TXN-00280,CUST-0114,2025-09-11,Strategy Session,8625.59,30.0,1
TXN-00281,CUST-0084,2025-04-20,Subscription Box,48.4,20.0,1
TXN-00282,CUST-0174,2025-04-14,Valuation Report,4683.77,35.0,1
TXN-00283,CUST-0197,2024-06-19,Website Development,17176.23,25.0,1
TXN-00284,CUST-0084,2025-05-08,Product Sale,78.59,15.0,1
TXN-00285,CUST-0085,2025-12-29,Valuation Report,3923.81,35.0,1
TXN-00286,CUST-0087,2025-11-05,Subscription Box,54.4,20.0,1
TXN-00287,CUST-0138,2025-09-26,Retainer,19467.18,28.0,1
TXN-00288,CUST-0194,2024-03-15,Monthly Subscription,187.94,40.0,1
TXN-00289,CUST-0064,2025-12-24,Patient Consultation,505.82,30.0,1
TXN-00290,CUST-0002,2025-11-04,Premium Membership,1109.17,18.0,1
TXN-00291,CUST-0041,2025-02-11,Bulk Order,22742.71,12.0,1
TXN-00292,CUST-0136,2024-08-12,Consultation Fee,1348.46,32.0,1
TXN-00293,CUST-0096,2025-01-29,Executive Coaching,4174.33,35.0,1
TXN-00294,CUST-0094,2024-07-23,Enterprise License,38022.66,35.0,1
TXN-00295,CUST-0107,2024-05-31,Subscription Box,80.4,20.0,1
TXN-00296,CUST-0156,2025-12-26,Monthly Subscription,338.38,40.0,1
TXN-00297,CUST-0058,2025-09-17,Social Media Mgmt,3157.71,22.0,1
TXN-00298,CUST-0030,2025-11-04,PPC Campaign,8682.59,18.0,1
TXN-00299,CUST-0075,2025-05-08,Hourly Consultation,2009.48,35.0,1
TXN-00300,CUST-0044,2025-08-18,Hourly Consultation,1947.27,35.0,1
TXN-00301,CUST-0022,2024-08-28,Annual Subscription,1900.28,28.0,1
TXN-00302,CUST-0119,2024-11-10,Annual Subscription,2742.89,28.0,1
TXN-00303,CUST-0167,2024-07-19,Website Development,38867.86,25.0,2
TXN-00304,CUST-0113,2024-11-11,Monthly Subscription,359.91,40.0,2
TXN-00305,CUST-0118,2024-07-20,Subscription Box,128.34,20.0,1
TXN-00306,CUST-0066,2024-11-02,Annual Subscription,1952.51,45.0,1
TXN-00307,CUST-0179,2024-06-02,Corporate Training,13955.36,22.0,1
TXN-00308,CUST-0099,2024-07-30,Hourly Consultation,2508.55,35.0,1
TXN-00309,CUST-0126,2025-09-06,Market Analysis,24389.75,28.0,1
TXN-00310,CUST-0045,2024-07-16,Property Listing,1724.77,30.0,1
TXN-00311,CUST-0085,2025-12-18,Consultation Fee,3045.41,32.0,1
TXN-00312,CUST-0007,2024-05-27,SEO Package,4163.29,20.0,1
TXN-00313,CUST-0087,2025-07-27,Bulk Order,14008.38,12.0,1
TXN-00314,CUST-0051,2025-12-24,Implementation Fee,13320.16,20.0,1
TXN-00315,CUST-0141,2025-03-08,Executive Coaching,18233.76,35.0,1
TXN-00316,CUST-0166,2025-10-02,Telemedicine Plan,2317.21,28.0,1
TXN-00317,CUST-0139,2025-05-29,Annual Subscription,3889.9,28.0,1
TXN-00318,CUST-0032,2024-09-30,Social Media Mgmt,3702.29,22.0,1
TXN-00319,CUST-0056,2025-02-16,Hourly Consultation,2851.7,35.0,1
TXN-00320,CUST-0006,2024-04-02,Course Enrollment,2530.11,20.0,1
TXN-00321,CUST-0142,2025-12-06,SEO Package,3766.28,20.0,1
TXN-00322,CUST-0131,2024-10-09,Annual Subscription,2805.67,45.0,1
TXN-00323,CUST-0053,2024-09-15,Enterprise License,22601.74,35.0,1
TXN-00324,CUST-0110,2025-08-27,Website Development,5537.73,25.0,1
TXN-00325,CUST-0090,2024-04-10,Market Analysis,24958.8,28.0,1
TXN-00326,CUST-0155,2024-05-01,Workshop Ticket,596.69,25.0,1
TXN-00327,CUST-0067,2025-08-04,SEO Package,2823.34,20.0,1
TXN-00328,CUST-0126,2025-04-22,Strategy Session,6750.31,30.0,1
TXN-00329,CUST-0172,2024-10-26,Annual Subscription,2430.15,45.0,1
TXN-00330,CUST-0068,2025-12-14,Product Sale,384.25,15.0,1
TXN-00331,CUST-0117,2025-09-23,Implementation Fee,4116.19,20.0,1
TXN-00332,CUST-0057,2025-12-03,PPC Campaign,7747.61,18.0,3
TXN-00333,CUST-0034,2025-10-12,Retainer,4527.6,28.0,1
TXN-00334,CUST-0142,2025-12-01,Social Media Mgmt,6991.75,22.0,1
TXN-00335,CUST-0181,2025-04-08,Course Enrollment,2395.95,20.0,1
TXN-00336,CUST-0190,2025-12-02,Property Management,4019.66,25.0,1
TXN-00337,CUST-0063,2025-04-19,Social Media Mgmt,9865.98,22.0,1
TXN-00338,CUST-0032,2024-10-01,Social Media Mgmt,7398.24,22.0,1
TXN-00339,CUST-0097,2025-10-14,Executive Coaching,15991.94,35.0,1
TXN-00340,CUST-0050,2025-08-29,Strategy Session,3704.43,30.0,1
TXN-00341,CUST-0175,2025-06-24,Wellness Program,10442.48,25.0,1
TXN-00342,CUST-0050,2025-12-06,Process Optimization,36659.6,22.0,1
TXN-00343,CUST-0095,2024-08-05,Subscription Box,31.55,20.0,1
TXN-00344,CUST-0055,2024-04-22,PPC Campaign,7745.2,18.0,1
TXN-00345,CUST-0123,2025-10-31,Website Development,42123.56,25.0,1
TXN-00346,CUST-0062,2025-07-06,Contract Review,4404.67,30.0,1
TXN-00347,CUST-0085,2024-09-21,Property Management,9072.47,25.0,2
TXN-00348,CUST-0156,2025-12-06,Enterprise License,38792.73,35.0,1
TXN-00349,CUST-0192,2025-01-03,Annual Subscription,858.28,45.0,1
TXN-00350,CUST-0187,2025-06-22,Course Enrollment,1753.0,20.0,1
TXN-00351,CUST-0110,2024-12-26,Website Development,27487.49,25.0,1
TXN-00352,CUST-0061,2024-12-29,Market Analysis,13293.24,28.0,1
TXN-00353,CUST-0117,2025-08-13,Enterprise License,31850.6,35.0,1
TXN-00354,CUST-0105,2025-12-23,Litigation Support,92049.74,25.0,1
TXN-00355,CUST-0037,2024-03-21,Annual Subscription,2930.86,28.0,1
