customer_id,company_name,industry,acquisition_channel,acquisition_date,churn_date,is_churned,annual_revenue,employees
CUST-0048,Gamma Technologies,Digital Agency,Google Ads,2024-03-10,,False,118949.5,200
CUST-0049,Core Consulting,SaaS,LinkedIn,2025-01-30,,False,61393.22,25
CUST-0050,Edge Collective,Consulting,Partner,2024-10-01,,False,51362.87,50
CUST-0051,Edge Collective,SaaS,LinkedIn,2024-06-26,,False,350428.21,5
CUST-0052,Prime Technologies,Real Estate,Email Campaign,2024-01-28,2024-05-07,True,39068.41,15
CUST-0053,Gamma Ventures,SaaS,Referral,2024-05-20,,False,93011.15,25
CUST-0054,Beta Solutions,Real Estate,Email Campaign,2024-08-08,2025-07-20,True,23485.48,10
CUST-0055,Beta Partners,Digital Agency,Organic Search,2024-01-17,,False,110582.52,15
CUST-0056,Gamma Collective,Legal Services,Partner,2024-08-13,,False,191401.9,15
CUST-0057,Edge Group,Digital Agency,Google Ads,2025-12-01,,False,130743.4,5
CUST-0058,Nova Collective,Digital Agency,Conference,2024-03-25,,False,52960.44,10
CUST-0059,Edge Ventures,Healthcare,Cold Outreach,2024-01-28,,False,222540.0,10
CUST-0060,Core Consulting,Real Estate,Partner,2024-02-12,,False,185280.99,15
CUST-0061,Core Solutions,Consulting,Partner,2024-04-11,,False,79405.17,50
CUST-0062,Beta Consulting,Legal Services,Conference,2024-11-03,2025-08-23,True,195233.78,15
CUST-0063,Prime Group,Digital Agency,Referral,2024-01-03,,False,72383.47,200
CUST-0064,Omega Collective,Healthcare,Referral,2025-10-20,,False,36097.63,25
CUST-0065,Gamma Ventures,E-commerce,Google Ads,2024-11-01,,False,29313.73,15
CUST-0066,Alpha Consulting,SaaS,Cold Outreach,2024-01-13,,False,43239.2,10
CUST-0067,Core Partners,Digital Agency,Google Ads,2024-11-09,,False,71583.09,50
CUST-0068,Core Group,E-commerce,Google Ads,2024-01-17,,False,23200.19,50
CUST-0069,Omega Technologies,E-commerce,Referral,2025-10-06,,False,24162.0,5
CUST-0070,Gamma Labs,SaaS,Partner,2024-11-24,,False,96856.31,5
CUST-0071,Gamma Solutions,Digital Agency,Organic Search,2024-05-18,2024-08-06,True,165934.19,200
CUST-0072,Edge Labs,Real Estate,LinkedIn,2024-04-12,,False,457137.23,200
CUST-0073,Apex Solutions,Digital Agency,Cold Outreach,2024-01-03,,False,123511.86,5
CUST-0074,Beta Labs,Legal Services,Organic Search,2024-06-25,,False,99966.7,25
CUST-0075,Omega Technologies,Legal Services,Partner,2024-05-12,,False,881872.65,10
CUST-0076,Alpha Technologies,SaaS,Organic Search,2024-02-15,,False,43989.3,5
CUST-0077,Edge Group,Healthcare,Organic Search,2025-12-01,,False,255358.53,25
CUST-0078,Beta Ventures,Real Estate,Partner,2024-02-08,,False,55442.2,50
CUST-0079,Beta Partners,Education,Cold Outreach,2024-07-27,,False,321078.24,200
CUST-0080,Gamma Ventures,SaaS,Partner,2024-02-05,,False,61748.46,50
CUST-0081,Core Partners,SaaS,Referral,2025-02-03,,False,99234.77,50
CUST-0082,Omega Collective,Consulting,Referral,2025-09-26,,False,103464.16,10
CUST-0083,Delta Technologies,Consulting,Email Campaign,2025-11-05,,False,21287.72,10
CUST-0084,Omega Collective,E-commerce,Organic Search,2024-08-31,,False,354221.19,100
CUST-0085,Prime Ventures,Real Estate,Referral,2024-06-24,,False,188221.73,50
CUST-0086,Core Ventures,SaaS,Organic Search,2024-02-22,2025-01-22,True,30234.58,100
CUST-0087,Beta Technologies,E-commerce,Referral,2024-04-03,,False,12845.74,25
CUST-0088,Delta Group,Digital Agency,Partner,2025-03-10,,False,17972.85,15
CUST-0089,Prime Solutions,Consulting,Organic Search,2025-12-01,,False,93381.85,10
CUST-0090,Edge Technologies,Consulting,Cold Outreach,2024-01-18,2024-08-03,True,38565.76,15
CUST-0091,Edge Technologies,Digital Agency,Google Ads,2024-08-29,2024-12-20,True,44673.12,15
CUST-0092,Alpha Group,Legal Services,Email Campaign,2024-02-20,,False,49034.26,100
CUST-0093,Alpha Technologies,Real Estate,Email Campaign,2025-07-09,2025-12-31,True,58075.48,15
CUST-0094,Beta Solutions,SaaS,Referral,2024-05-25,,False,55502.41,50
CUST-0095,Prime Group,E-commerce,Cold Outreach,2024-01-09,,False,2145494.9,10
CUST-0096,Core Technologies,Consulting,LinkedIn,2024-05-09,,False,302420.86,15
CUST-0097,Omega Ventures,Consulting,Referral,2024-01-05,,False,533461.21,50
CUST-0098,Delta Partners,Legal Services,Email Campaign,2024-05-31,2025-02-17,True,34987.77,10
CUST-0099,Edge Ventures,Legal Services,Referral,2024-04-08,,False,81606.27,200
CUST-0100,Delta Ventures,Digital Agency,LinkedIn,2024-07-22,,False,51501.05,10
CUST-0101,Nova Technologies,Real Estate,Google Ads,2024-03-14,,False,60649.98,25
CUST-0102,Beta Group,Digital Agency,Referral,2024-04-25,,False,55449.54,10
CUST-0103,Nova Labs,Legal Services,Organic Search,2024-08-29,,False,210111.0,10
CUST-0104,Nova Collective,Consulting,Referral,2024-11-17,,False,19388.93,10
CUST-0105,Apex Solutions,Legal Services,LinkedIn,2024-07-25,,False,103578.49,15
CUST-0106,Beta Solutions,Education,Referral,2024-06-15,2024-09-12,True,67201.07,50
CUST-0107,Nova Labs,E-commerce,Organic Search,2024-03-05,,False,8336.14,15
CUST-0108,Beta Technologies,Education,Google Ads,2025-08-03,,False,44493.78,50
CUST-0109,Delta Technologies,Digital Agency,Email Campaign,2025-09-02,,False,317356.83,10
CUST-0110,Core Ventures,Digital Agency,LinkedIn,2024-12-13,,False,127315.16,50
CUST-0111,Gamma Collective,SaaS,Cold Outreach,2024-08-27,,False,328146.0,15
CUST-0112,Gamma Consulting,Consulting,Email Campaign,2024-04-13,,False,65638.96,25
CUST-0113,Apex Technologies,SaaS,Organic Search,2024-02-27,,False,124943.21,10
CUST-0114,Beta Ventures,Consulting,Google Ads,2025-09-07,,False,213387.53,50
CUST-0115,Core Group,Real Estate,Conference,2024-07-30,,False,62357.49,10
CUST-0116,Alpha Solutions,E-commerce,Cold Outreach,2024-10-25,2025-01-23,True,278602.12,10
CUST-0117,Beta Technologies,SaaS,Conference,2025-02-14,,False,59277.41,10
CUST-0118,Gamma Collective,E-commerce,Organic Search,2024-02-27,,False,149258.49,10
CUST-0119,Apex Ventures,Education,Organic Search,2024-04-02,,False,644864.7,15
CUST-0120,Delta Collective,Digital Agency,Organic Search,2024-05-15,,False,1139103.35,5
CUST-0121,Alpha Partners,Legal Services,Email Campaign,2025-03-26,,False,112332.8,100
CUST-0122,Nova Solutions,Legal Services,Organic Search,2024-09-26,,False,485622.39,100
CUST-0123,Nova Consulting,Digital Agency,Partner,2025-07-22,,False,59206.36,50
CUST-0124,Apex Consulting,Real Estate,Organic Search,2024-01-30,,False,18170.15,5
CUST-0125,Nova Ventures,Digital Agency,Referral,2024-03-30,,False,455681.93,15
CUST-0126,Gamma Technologies,Consulting,Referral,2024-06-17,,False,70559.76,10
CUST-0127,Omega Technologies,SaaS,Referral,2024-05-11,2025-05-31,True,78359.73,25
CUST-0128,Alpha Solutions,Digital Agency,Partner,2024-08-07,2025-04-02,True,75441.39,5
CUST-0129,Prime Solutions,Legal Services,Google Ads,2025-12-01,,False,32645.88,50
CUST-0130,Alpha Ventures,Consulting,LinkedIn,2024-02-21,,False,95534.88,25
CUST-0131,Core Partners,SaaS,Organic Search,2024-01-15,,False,57329.77,15
CUST-0132,Alpha Group,Digital Agency,LinkedIn,2024-04-22,,False,24160.84,25
CUST-0133,Gamma Group,E-commerce,Email Campaign,2024-04-25,2024-07-29,True,203144.34,5
CUST-0134,Edge Group,Digital Agency,Email Campaign,2024-01-25,,False,31918.73,10
CUST-0135,Delta Collective,E-commerce,Cold Outreach,2024-01-23,,False,68805.15,25
CUST-0136,Beta Technologies,Real Estate,Google Ads,2024-02-20,,False,314685.75,5
CUST-0137,Edge Solutions,Real Estate,Conference,2024-02-21,2024-09-02,True,28251.06,15
CUST-0138,Edge Group,Legal Services,LinkedIn,2024-03-06,,False,27434.88,25
CUST-0139,Nova Labs,Education,Conference,2024-05-05,,False,570800.01,10
CUST-0140,Omega Technologies,Real Estate,Conference,2025-03-20,,False,68623.33,10
CUST-0141,Prime Technologies,Consulting,Google Ads,2024-06-19,,False,93251.4,50
CUST-0142,Omega Collective,Digital Agency,Referral,2025-12-01,,False,120071.81,10
CUST-0143,Gamma Consulting,Real Estate,LinkedIn,2024-06-25,,False,37109.46,5
CUST-0144,Apex Labs,Real Estate,Organic Search,2024-02-02,,False,522026.92,10
CUST-0145,Beta Solutions,SaaS,Organic Search,2025-06-22,,False,272221.15,5
CUST-0146,Apex Group,Digital Agency,Organic Search,2024-02-09,,False,53555.95,10
CUST-0147,Beta Technologies,Consulting,Organic Search,2024-04-06,,False,24181.4,15
CUST-0148,Core Consulting,E-commerce,LinkedIn,2024-08-26,,False,55512.43,15
CUST-0149,Gamma Labs,E-commerce,Google Ads,2024-07-17,,False,111525.64,5
CUST-0150,Beta Technologies,Healthcare,Referral,2024-10-12,,False,200336.14,50
CUST-0151,Prime Consulting,Legal Services,Referral,2024-09-16,,False,56248.42,5
CUST-0152,Gamma Ventures,Legal Services,Cold Outreach,2025-06-29,2025-11-28,True,183628.89,50
CUST-0153,Core Consulting,Healthcare,Cold Outreach,2024-12-25,,False,92026.72,10
CUST-0154,Edge Solutions,Digital Agency,Email Campaign,2025-12-01,,False,18751.69,100
CUST-0155,Core Consulting,Education,Google Ads,2024-02-13,,False,33488.03,100
CUST-0156,Beta Partners,SaaS,Cold Outreach,2025-12-01,,False,282986.04,50
CUST-0157,Omega Group,Digital Agency,Organic Search,2024-03-25,,False,63927.43,5
CUST-0158,Beta Partners,E-commerce,Google Ads,2024-09-17,,False,72462.75,15
CUST-0159,Omega Consulting,Consulting,Organic Search,2024-06-18,,False,128933.27,10
CUST-0160,Edge Technologies,Digital Agency,Cold Outreach,2024-01-06,,False,240296.97,25
CUST-0161,Prime Technologies,Education,Referral,2025-09-04,,False,58847.91,15
CUST-0162,Omega Ventures,Education,Conference,2024-08-04,,False,404071.63,15
CUST-0163,Omega Solutions,Consulting,Google Ads,2024-04-29,,False,25733.51,10
CUST-0164,Beta Collective,Education,Referral,2024-02-28,2024-05-23,True,465329.25,10
CUST-0165,Omega Solutions,Digital Agency,Referral,2025-10-17,,False,36375.33,100
CUST-0166,Alpha Labs,Healthcare,LinkedIn,2025-09-26,,False,116593.9,25
CUST-0167,Gamma Consulting,Digital Agency,LinkedIn,2024-06-06,,False,161530.82,10
CUST-0168,Gamma Ventures,Digital Agency,Partner,2024-11-27,,False,408605.02,25
CUST-0169,Core Collective,Consulting,LinkedIn,2024-02-06,,False,55784.63,25
CUST-0170,Core Solutions,Digital Agency,Cold Outreach,2024-07-15,,False,53487.93,100
CUST-0171,Beta Group,Real Estate,Email Campaign,2025-11-13,,False,66989.99,25
CUST-0172,Gamma Solutions,SaaS,LinkedIn,2024-01-20,,False,95499.19,5
CUST-0173,Prime Partners,Digital Agency,Cold Outreach,2024-02-24,,False,593954.42,15
CUST-0174,Nova Partners,Real Estate,Referral,2024-05-23,,False,195221.77,10
CUST-0175,Alpha Consulting,Healthcare,Cold Outreach,2025-04-06,,False,625750.7,100
CUST-0176,Prime Solutions,Healthcare,Email Campaign,2024-09-26,,False,393233.55,10
CUST-0177,Prime Technologies,Digital Agency,Conference,2025-04-10,,False,188850.29,10
CUST-0178,Delta Group,Digital Agency,Conference,2024-03-30,,False,101594.51,5
CUST-0179,Prime Collective,Education,Organic Search,2024-03-15,,False,354495.83,10
CUST-0180,Edge Partners,E-commerce,Google Ads,2024-08-08,,False,126675.46,200
CUST-0181,Delta Partners,Education,Google Ads,2024-04-01,,False,478041.72,100
CUST-0182,Gamma Collective,Legal Services,Referral,2024-09-12,2025-06-28,True,35365.24,25
CUST-0183,Alpha Partners,Education,Partner,2024-01-11,,False,56448.17,50
CUST-0184,Prime Collective,SaaS,Conference,2024-01-06,2024-07-23,True,56658.68,10
CUST-0185,Delta Consulting,SaaS,LinkedIn,2025-12-01,,False,647683.27,50
CUST-0186,Gamma Group,Digital Agency,Email Campaign,2024-09-16,,False,27438.31,200
CUST-0187,Nova Solutions,Education,Referral,2024-02-05,,False,236205.47,25
CUST-0188,Apex Technologies,Education,Referral,2024-04-20,,False,77556.65,10
CUST-0189,Delta Ventures,SaaS,Cold Outreach,2024-01-07,,False,140372.57,15
CUST-0190,Prime Consulting,Real Estate,Conference,2025-12-01,,False,174515.23,50
CUST-0191,Delta Technologies,Education,Organic Search,2024-08-03,2025-02-26,True,90243.27,10
CUST-0192,Alpha Technologies,SaaS,LinkedIn,2024-01-30,,False,416698.08,15
CUST-0193,Nova Labs,Consulting,Conference,2024-01-15,,False,63184.64,5
CUST-0194,Omega Group,SaaS,Organic Search,2024-01-17,,False,14920.02,10
CUST-0195,Omega Labs,E-commerce,Google Ads,2024-09-17,,False,37534.8,10
CUST-0196,Core Collective,Healthcare,Email Campaign,2025-12-01,2025-12-31,True,79144.92,15
CUST-0197,Core Labs,Digital Agency,Google Ads,2024-06-08,2024-11-17,True,36256.72,25
CUST-0198,Alpha Group,Consulting,LinkedIn,2024-09-13,,False,74525.73,10
CUST-0199,Omega Partners,Digital Agency,Partner,2024-08-09,,False,104781.28,50
CUST-0200,Edge Consulting,Real Estate,Referral,2025-03-24,,False,51692.25,50
